,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,Fuel dimer,Alanine waste,,,
-360,0,5159.23,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,29381.8,5.6949971216635,--
0,6,3737.43,5.89632310762478,65.7164,0.103676892375219,0,0,51524.3,45.6164084414988,684.986,0.548962933542609,1938.16,1.71811760059745,79805.9,718.923,277.293,3950.43,0.156534037421851,2.23004820695944,22322.7,5.86953476205912,
290,10.8333333333333,1892.9,5.90965062379038,28.9395,0.0903493762096158,0,0,25947.8,44.8793547010482,410.465,0.66062388205665,1362.84,2.35980203530848,41970.6,273.754,60.0891,2706.14,0.0639945370062619,2.88202313521297,11810.6,6.14546636178515,
540,15,1873.93,5.90226473486088,31.0303,0.0977352651391213,0,0,25637.2,44.2328857980034,420.521,0.672818225229695,1729.21,2.98709058585851,41760.8,399.503,186.606,3614.26,0.1940957716813,3.75932490786392,11827.3,6.20868581880683,
791,19.1833333333333,1885.84,5.90514702589874,30.2918,0.0948529741012596,0,0,25289.1,43.6210062641595,412.811,0.66059618835703,2092.56,3.61377196205677,41010.6,267.246,89.4443,4144.35,0.0941496553790302,4.3623699248592,11855.8,6.18736143307052,
1042,23.3666666666667,1891.91,5.90436102952987,30.6452,0.0956389704701326,0,0,24888.3,43.0509553427236,387.857,0.618654872047459,2439.08,4.22424098339841,40418.3,245.926,99.0507,4757.48,0.104218625000157,5.00569934453515,11840.8,6.15888688137537,
1293,27.55,1902.28,5.89781081944302,32.9601,0.102189180556976,0,0,24531.3,42.4629391935005,358.582,0.564399995926748,2802.98,4.85840141766496,39789.5,271.74,110.572,5315.49,0.116397005702503,5.59551351012549,11846.4,6.12141098151077,
1544,31.7333333333333,1919.94,5.90492042871062,30.9144,0.0950795712893797,0,0,24034.5,41.9051920560497,352.694,0.561759237241575,3107.54,5.42510867717433,39131.6,222.005,81.7411,5926.5,0.0863394164446595,6.25989314505524,11818.2,6.05796106567461,
1794,35.9,1882.95,5.88075982184021,38.1793,0.119240178159794,0,0,23835,41.2476954808492,376.883,0.587084604786592,3480.51,6.03286541542293,38726.2,163.119,75.9711,6485.35,0.0800984897377998,6.83768881089046,11807.1,6.14591636283929,
2045,40.0833333333333,1923.75,5.9133329019687,28.1949,0.086667098031302,0,0,23461.1,40.7437834184913,366.781,0.588713975840393,3778.28,6.56945527485694,38227.7,197.935,116.613,7100.83,0.122322154666648,7.44847337365106,11732.5,6.01067171516983,
2296,44.2666666666667,1923.02,5.90455990734983,31.0833,0.0954400926501685,0,0,23064,40.1885523367943,376.444,0.602596134384575,4069.38,7.10038130378442,37659.2,222.169,144,7702.8,0.15067959834208,8.06010284798175,11847.1,6.06267846740753,
2547,48.45,1915.6,5.91494807360461,27.5447,0.085051926395394,0,0,22711,39.7532338724064,319.534,0.511717407142122,4358.58,7.63850338495798,37162.6,197.934,118.573,8208.03,0.124253155338057,8.60122984667196,11715.8,6.02929879591571,
2797,52.6166666666667,1906.26,5.965553782256,11.0071,0.0344462177439961,0,0,22473.2,39.1838205750433,353.463,0.597391830806732,4689.42,8.18038526777231,36620.1,158.921,115.42,8706.24,0.121186187772225,9.14118900909769,11802.9,6.15610626187661,
3048,56.8,1903.84,5.90367548638482,31.0631,0.0963245136151779,0,0,22100.2,38.6894852785309,337.652,0.537482131125436,4942.16,8.66411892003554,36078.1,154.986,113.65,9186.98,0.11950744321151,9.66047066111109,11774,6.08505924663617,
