,Time (min),,Aldehyde,,Imine ester,Intermediate 1,Intermediate 2,,Ester fuel,,,,Phenol waste,,,,,Fuel dimer,Alanine waste,
-360,0,4456.17,6,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,
0,6,3920.48,5.94924624413188,33.4461,0.0507537558681231,0,0,64658.8,45.6520708023537,743.417,0.501531362513912,2546.88,1.79914443896142,96137.6,453.93,142.43,4873.37,0.0671907235948272,2.29899077894631,
294,10.9,1673.73,5.84106223043474,45.5429,0.158937769565262,0,0,28058.3,44.7631592792818,355.71,0.49563344482407,1624.36,2.59565615577676,43855.2,238.276,125.658,3426.98,0.126258326779254,3.44335227924976,
545,15.0833333333333,1689.95,5.93611949305445,18.1861,0.0638805069455531,0,0,27545.7,44.12721380528,332.502,0.503855341680492,2065.24,3.31062541173456,43068.2,158.769,71.0989,4093.67,0.0719035656124119,4.14000032968952,
796,19.2666666666667,1674.92,6.00373285133263,-1.04139,-0.00373285133263039,0,0,27040.6,43.6296452328383,240.376,0.38950871830705,2469.41,3.98420645701874,42489.6,196.729,123.776,5023.64,0.123885636207093,5.02808975468102,
1046,23.4333333333333,1701.11,5.91048059766695,25.7648,0.0895194023330469,0,0,26584,42.8345563112523,279.198,0.40875075451327,2897.71,4.67358321191007,41698.4,93.9507,73.3647,5606.06,0.0740665732100766,5.65969265069008,
1296,27.6,1697.49,6.00259097752278,-0.73271,-0.00259097752277817,0,0,26104.4,42.2799833477692,247.07,0.401342317188016,3285.4,5.32104773547274,41075.9,168.164,126.657,6485.72,0.126701614806114,6.48800458861577,
1547,31.7833333333333,1704.23,5.88619656172549,32.9495,0.113803438274513,0,0,25664.7,41.5448487520817,255.618,0.360908988808739,3694.04,5.98743082662808,40371.4,152.61,113.916,7131.68,0.114193103840607,7.149028010095,
1798,35.9666666666667,1717.29,5.93285740681871,19.4347,0.0671425931812912,0,0,25296.5,40.8828014089464,273.355,0.410687438410823,4107.64,6.64364428331974,39697.8,122.083,109.3,7792.81,0.109685514878304,7.82029622322775,
2048,40.1333333333333,1731.87,5.89124095731234,31.9723,0.10875904268766,0,0,24813.8,40.2811115688651,288.108,0.416330499645487,4428.75,7.19862049806002,39062.1,135.66,105.388,8472.76,0.105649270646308,8.49376508104543,
2299,44.3166666666667,1706.79,5.94576322987679,15.5692,0.0542367701232124,0,0,24452.5,39.6496363759713,282.331,0.432828838268003,4848.61,7.86701181921332,38476,189.665,195.565,9281.11,0.194197907418619,9.21623061653169,
2550,48.5,1692.38,5.9924007783698,2.14618,0.00759922163020226,0,0,24017.9,39.1787905590072,265.125,0.42901805987262,5139.94,8.38518891620882,37782.5,150.906,119.785,9737.56,0.120008676170937,9.75574307914234,
2801,52.6833333333333,1683.58,5.93368161486685,18.8167,0.0663183851331479,0,0,23719.3,38.4591097972686,333.481,0.510610214559661,5527.29,8.96921173718616,37356.7,250.28,238.361,10627.9,0.234878910367185,10.472642636553,
3052,56.8666666666667,1692.31,5.99856480142976,0.404897,0.00143519857024098,0,0,23258.9,37.9781092266501,330.166,0.538457158684323,5807.02,9.48211132597721,36693.3,236.484,241.977,11114.3,0.239344026230774,10.9933642897329,
